Solution value: 21701027
Remaining budget: 27
Execution time: 463.55814146995544s

(128, 39)
(106, 111)
(115, 86)
(29, 62)
(47, 89)
(42, 90)
(102, 69)
(111, 115)
(121, 99)
(122, 110)
(166, 83)
(167, 80)
(43, 52)
(67, 116)
(172, 75)
(165, 112)
(135, 95)
(23, 51)
(205, 52)
(49, 118)
(123, 89)
(199, 86)
(119, 62)
(72, 120)
(31, 123)
(142, 100)
(30, 58)
(91, 54)
(174, 57)
(115, 137)
(87, 26)
(194, 51)
(94, 74)
(82, 126)
(130, 102)
(208, 44)
(73, 51)
(167, 122)
(107, 31)
(38, 51)
(89, 136)
(130, 127)
(83, 49)
(202, 45)
(103, 142)
(212, 122)
(166, 120)
(80, 28)
(189, 114)
(72, 76)
(203, 127)
(174, 80)
(159, 28)
(173, 68)
(140, 53)
(211, 101)
(122, 78)
(49, 68)
(108, 116)
(213, 62)
(130, 96)
(47, 84)
(56, 54)
(53, 84)
(106, 68)
(203, 74)
(122, 54)
(138, 90)
(180, 94)
(207, 108)
(153, 147)
(127, 43)
(102, 32)
(36, 61)
(45, 135)
(128, 140)
(78, 71)
(37, 105)
(212, 45)
(215, 48)
(157, 84)
(172, 129)
(112, 146)
(147, 67)
(63, 40)
(31, 59)
(93, 99)
(137, 128)
(147, 143)
(200, 92)
(132, 30)
(132, 48)
(85, 93)
(25, 115)
(78, 106)
(196, 114)
(68, 69)
(140, 103)
(210, 77)
(194, 52)
(96, 100)
(23, 126)
(25, 82)
(37, 89)
(125, 136)
(37, 70)
(49, 41)
(43, 57)
(69, 81)
(182, 136)
(121, 78)
(179, 37)
(55, 96)
(180, 39)
(179, 150)
(98, 32)
(196, 80)
(150, 52)
(32, 134)
(154, 142)
(209, 116)
(208, 118)
(109, 118)
(106, 74)
(98, 116)
(121, 112)
(110, 135)
(133, 122)
(75, 145)
(153, 132)
(181, 92)
(169, 32)
(172, 83)
(125, 96)
(152, 149)
(206, 92)
(149, 107)
(52, 63)
(155, 65)
(138, 111)
(107, 93)
(141, 125)
(163, 101)
(35, 62)
(179, 57)
(185, 84)
(202, 78)
(116, 100)
(113, 67)
(117, 84)
(119, 59)
(118, 121)
(99, 50)
(77, 146)
(175, 85)
(167, 91)
(162, 26)
(82, 150)
(62, 73)
(88, 109)
(146, 77)
(138, 150)
(83, 116)
(154, 94)
(29, 64)
(75, 33)
(30, 129)
(165, 94)
(126, 63)
(65, 122)
(213, 101)
(70, 99)
(214, 64)
(132, 105)
(58, 141)
(149, 27)
(150, 104)
(102, 54)
(86, 122)
(75, 87)
(53, 114)
(151, 133)
(113, 53)
(79, 118)
(75, 40)
(89, 58)
(146, 38)
(156, 75)
(88, 49)
(154, 101)
(157, 25)
(26, 62)
(166, 102)
(28, 103)
(66, 111)
(69, 44)
(102, 130)
(60, 29)
(78, 118)
(173, 43)
(117, 37)
(86, 36)
(153, 89)
(74, 138)
(206, 46)
(76, 125)
(152, 77)
(96, 132)
(210, 54)
(161, 28)
(58, 153)
(95, 96)
(77, 95)
(140, 76)
(134, 94)
(142, 110)
(208, 113)
(155, 101)
(111, 128)
(113, 105)
(213, 82)
(143, 78)
(201, 108)
(128, 118)
(135, 28)
(124, 31)
(97, 85)
(161, 114)
(164, 49)
(51, 60)
(176, 138)
(26, 93)
(139, 117)
(52, 106)
(174, 36)
(55, 24)
(153, 55)
(117, 134)
(115, 78)
(194, 93)
(183, 77)
(195, 57)
(129, 56)
(181, 116)
(212, 132)
(46, 124)
(126, 116)
(35, 77)
(54, 51)
(140, 47)
(181, 125)
(27, 103)
(85, 33)
(189, 105)
(80, 70)
(46, 139)
(109, 25)
(186, 37)
(211, 121)
(163, 127)
(215, 115)
(159, 81)
(211, 132)
(117, 128)
(117, 104)
(118, 117)
(63, 76)
(125, 84)
(110, 53)
(162, 28)
(214, 134)
(159, 46)
(61, 34)
(208, 93)
(160, 43)
(136, 33)
(127, 107)
(63, 127)
(49, 120)
(95, 148)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
